"","name","betweenness","closeness","degree"
"OTU26","OTU26",474.25,0.00269191322348533,45
"OTU637","OTU637",0.166666666666667,0.00219977474306631,49
"OTU465","OTU465",107.4,0.00239354699729529,43
"OTU311","OTU311",59.7666666666667,0.00213350173773717,16
"OTU338","OTU338",1.75,0.00212674552639078,44
"OTU54","OTU54",175,0.00247320896389857,23
"OTU72","OTU72",135,0.00252047253819146,49
"OTU107","OTU107",241,0.00259595290941422,46
"OTU36","OTU36",47,0.00219333358191114,36
"OTU808","OTU808",3.6625,0.00218211018783605,44
"OTU34","OTU34",31,0.00140601295500337,8
"OTU616","OTU616",432.75,0.00247177846932646,48
"OTU25","OTU25",79.25,0.00255564273136873,25
"OTU413","OTU413",309.544642857143,0.00268028250177568,37
"OTU907","OTU907",1302.375,0.0025324020846734,25
"OTU68","OTU68",68,0.00227294940187336,12
"OTU857","OTU857",137,0.00224078086731664,44
"OTU7","OTU7",426.166666666667,0.00260482465622827,42
"OTU799","OTU799",35.8958333333333,0.00216179290456333,45
"OTU509","OTU509",3.6625,0.00218211018783605,44
"OTU21","OTU21",364.416666666667,0.00241854345638882,31
"OTU42","OTU42",52,0.00241521974876884,14
"OTU35","OTU35",207.583333333333,0.00229730847339257,45
"OTU117","OTU117",36.5,0.00250862339291314,43
"OTU118","OTU118",531,0.00255836264790534,24
"OTU632","OTU632",441,0.00235136437918102,25
"OTU942","OTU942",436.054761904762,0.00251711005560296,38
"OTU173","OTU173",21.6666666666667,0.00216879280654802,10
"OTU39","OTU39",717.833333333333,0.002629385486318,33
"OTU288","OTU288",803.75,0.00259757801825578,31
"OTU213","OTU213",608.666666666667,0.00263736727449191,27
"OTU233","OTU233",359,0.00227284608059057,16
"OTU404","OTU404",85.25,0.00223676116982609,10
"OTU1613","OTU1613",23.4,0.00208717286174358,15
"OTU653","OTU653",135,0.0021057818452124,44
"OTU691","OTU691",24.1,0.00181012183930101,9
"OTU92","OTU92",300.544642857143,0.00268028250177568,37
"OTU1169","OTU1169",125.5,0.00234873004166647,37
"OTU60","OTU60",4.4,0.0024000844829738,44
"OTU124","OTU124",339.166666666667,0.00235464760343967,23
"OTU388","OTU388",213.25,0.0024483520142592,27
"OTU1566","OTU1566",72.1428571428571,0.0018671730439962,14
"OTU179","OTU179",333.666666666667,0.00244848989385796,41
"OTU360","OTU360",379.625,0.00256173788297982,30
"OTU43","OTU43",244.875,0.00269418325834523,61
"OTU85","OTU85",261,0.00195940888552741,12
"OTU2583","OTU2583",71.1666666666667,0.00178479320493531,6
"OTU32","OTU32",161.25,0.00242049871955618,13
"OTU392","OTU392",204,0.00224798917368414,23
"OTU486","OTU486",6.1625,0.00218211018783605,44
"OTU376","OTU376",425.5,0.00263611584147454,45
"OTU105","OTU105",161,0.00233347178599264,60
"OTU10","OTU10",348.625,0.00253042840152838,49
"OTU712","OTU712",19.4333333333333,0.002179361447096,44
"OTU837","OTU837",0.166666666666667,0.00219977474306631,49
"OTU161","OTU161",228.75,0.00264599964543605,43
"OTU849","OTU849",256,0.00244031597211207,28
"OTU19","OTU19",629.583333333333,0.00254139293746903,48
"OTU93","OTU93",223.125,0.00256531286555708,28
"OTU13","OTU13",571,0.00267929148815887,48
"OTU144","OTU144",202,0.00191894013098685,9
"OTU707","OTU707",72.5,0.00218972188342359,23
"OTU903","OTU903",27.6,0.00180998423503731,9
"OTU9","OTU9",235.5,0.00259728116607535,47
"OTU993","OTU993",71.1666666666668,0.00178479320493531,6
"OTU1118","OTU1118",0.4,0.00134832490854986,7
"OTU405","OTU405",61.9166666666667,0.00240101803164542,46
"OTU229","OTU229",58,0.0016650848360724,9
"OTU63","OTU63",433.340476190476,0.00251061361907464,38
"OTU323","OTU323",336,0.00194822779458665,13
"OTU15","OTU15",831.5,0.00247357602412231,46
"OTU182","OTU182",127.5,0.00246435313194639,50
"OTU12","OTU12",354.25,0.00260842573681506,38
"OTU90","OTU90",700,0.00241551728302616,23
"OTU575","OTU575",1133.5,0.00267220347226119,47
"OTU48","OTU48",214.5,0.00258269798962788,52
"OTU932","OTU932",10.8333333333333,0.00229470428145925,37
"OTU358","OTU358",232.75,0.00214840309198173,14
"OTU1478","OTU1478",253,0.00210282830406897,11
"OTU212","OTU212",245.25,0.00266675911431596,36
"OTU146","OTU146",330.044642857143,0.00268028250177568,37
"OTU234","OTU234",349,0.00237923027142259,23
"OTU75","OTU75",18,0.00165405723699663,3
"OTU1290","OTU1290",0.4,0.00134832490854986,7
"OTU361","OTU361",538.833333333333,0.00227718849200024,16
"OTU519","OTU519",638,0.00241539476004261,58
"OTU82","OTU82",72.6428571428571,0.00186639243140541,14
"OTU185","OTU185",120.25,0.0024679048968169,52
"OTU521","OTU521",290.583333333333,0.0025261200816442,29
"OTU552","OTU552",460.416666666667,0.00257953346557742,59
"OTU195","OTU195",690,0.0027163800432991,35
"OTU426","OTU426",322,0.00205611973196423,14
"OTU108","OTU108",73,0.00192482777603474,11
"OTU472","OTU472",127,0.00231752395740391,45
"OTU1159","OTU1159",458.340476190476,0.00251711005560296,38
"OTU74","OTU74",472.666666666667,0.00248577515169443,17
"OTU253","OTU253",31.5,0.00233644313915155,42
"OTU44","OTU44",215.75,0.00244635151135597,25
"OTU4","OTU4",519.833333333333,0.00275767737380869,54
"OTU152","OTU152",89,0.00255049339294687,51
"OTU88","OTU88",299.544642857143,0.00268028250177568,37
"OTU415","OTU415",61.5,0.00209888255492776,40
"OTU261","OTU261",778.25,0.00266004139024403,29
"OTU147","OTU147",52,0.00265140869343882,54
"OTU187","OTU187",29.3571428571429,0.00224997693773639,15
"OTU680","OTU680",0.166666666666667,0.00219948444084707,49
