"","name","betweenness","closeness","degree"
"OTU41","OTU41",65,0.00354913241458126,77
"OTU1198","OTU1198",18.25,0.00289413821246448,12
"OTU204","OTU204",80,0.00332873967258516,30
"OTU277","OTU277",75.5,0.00316710267113439,12
"OTU26","OTU26",478.590909090909,0.00355620041323049,22
"OTU517","OTU517",27,0.00259753078723366,5
"OTU474","OTU474",34.718722943723,0.00330301168605535,35
"OTU176","OTU176",526.5,0.00370672399733116,38
"OTU54","OTU54",31.5,0.00330988829127017,67
"OTU72","OTU72",206,0.0031821696669223,15
"OTU96","OTU96",211.75,0.00332548518828897,40
"OTU300","OTU300",82,0.00299222022740874,11
"OTU107","OTU107",210.5,0.00344006715011077,22
"OTU36","OTU36",93,0.00358681343907259,68
"OTU34","OTU34",279.083333333333,0.00366831129289632,71
"OTU381","OTU381",90.5,0.00283355954583708,10
"OTU25","OTU25",19.5,0.00295910516659762,10
"OTU413","OTU413",738.5,0.0032848489626447,37
"OTU61","OTU61",259.5,0.00367703836621831,73
"OTU257","OTU257",315,0.00329182343975798,17
"OTU259","OTU259",217.75,0.00310097711788984,11
"OTU271","OTU271",213.5,0.00303274760867851,19
"OTU7","OTU7",177,0.00360046373972968,74
"OTU239","OTU239",71,0.00310359489396568,12
"OTU21","OTU21",247,0.00315065817249223,21
"OTU42","OTU42",77,0.00355970696492265,71
"OTU35","OTU35",369,0.00355763004916645,55
"OTU89","OTU89",81,0.00318539306157683,28
"OTU287","OTU287",59,0.00310205449068918,12
"OTU118","OTU118",98.75,0.00320727666930732,15
"OTU387","OTU387",316.5,0.00344870397704543,39
"OTU173","OTU173",459.416666666667,0.00359797649801752,28
"OTU500","OTU500",148,0.00305558101873071,11
"OTU39","OTU39",55,0.00359603573021102,80
"OTU170","OTU170",209.75,0.00339510154748729,18
"OTU213","OTU213",17.5,0.00286211475935339,7
"OTU233","OTU233",935.75,0.00379292164961748,42
"OTU691","OTU691",216.416666666667,0.00340220530948161,22
"OTU92","OTU92",81,0.00364126278993555,82
"OTU60","OTU60",47,0.00341016433581934,60
"OTU143","OTU143",154.5,0.00341848786607732,28
"OTU877","OTU877",4,0.00274169403791215,4
"OTU124","OTU124",239.5,0.00345572354211663,22
"OTU395","OTU395",60,0.00243652249763048,5
"OTU84","OTU84",33,0.0035543170735175,77
"OTU388","OTU388",665.5,0.00351629804142199,27
"OTU764","OTU764",39.0833333333333,0.00324119690919463,33
"OTU179","OTU179",197.5,0.00327191940608119,19
"OTU43","OTU43",271,0.00328089371544809,20
"OTU221","OTU221",139.25,0.00344317047137004,18
"OTU85","OTU85",415,0.00358844806797956,20
"OTU32","OTU32",180.25,0.00355651660537603,70
"OTU171","OTU171",200,0.00340749171127641,16
"OTU55","OTU55",82.5,0.00318276722513622,30
"OTU376","OTU376",205,0.00336637996330646,19
"OTU105","OTU105",213.5,0.00344139307591713,25
"OTU145","OTU145",201.25,0.00329863172755941,18
"OTU10","OTU10",27,0.00331175175108874,63
"OTU161","OTU161",246,0.00355683285375371,28
"OTU849","OTU849",0,0.00183525300797968,1
"OTU19","OTU19",133,0.00358610599094867,81
"OTU93","OTU93",24.5,0.00322862889816581,50
"OTU13","OTU13",292,0.00346289165304596,45
"OTU144","OTU144",441.666666666667,0.0035194413942619,24
"OTU715","OTU715",43,0.00289330922242315,6
"OTU9","OTU9",262.25,0.00359542805368693,70
"OTU1010","OTU1010",29.5,0.00261106150094259,8
"OTU1118","OTU1118",718,0.00366979210627718,38
"OTU229","OTU229",75.25,0.00278945474528094,7
"OTU63","OTU63",740.5,0.00371577308516924,51
"OTU323","OTU323",257,0.00315933805549062,12
"OTU15","OTU15",180,0.00343731202199879,79
"OTU12","OTU12",19,0.00334207843858095,78
"OTU90","OTU90",66.5,0.00316251533819939,21
"OTU48","OTU48",150.083333333333,0.0035332068445283,77
"OTU91","OTU91",42,0.00329168257646579,69
"OTU70","OTU70",46,0.00297739561250983,7
"OTU212","OTU212",555.5,0.00354510615820391,20
"OTU146","OTU146",194,0.00355903550137912,36
"OTU80","OTU80",216,0.00362834170270819,73
"OTU436","OTU436",319.5,0.00309511281686218,25
"OTU234","OTU234",140,0.00285097660203503,5
"OTU75","OTU75",241,0.00347084834475242,52
"OTU8","OTU8",174,0.0030232579232032,21
"OTU82","OTU82",38.25,0.00347385058968614,68
"OTU349","OTU349",207,0.00317061725576735,16
"OTU389","OTU389",176,0.00303285798339207,13
"OTU426","OTU426",25.718722943723,0.00330301168605535,35
"OTU102","OTU102",150,0.00347514230707748,64
"OTU108","OTU108",133.75,0.00347670088899242,44
"OTU700","OTU700",5.25,0.00236321141525642,5
"OTU74","OTU74",53,0.00333495634542144,65
"OTU44","OTU44",47,0.00348734616444232,73
"OTU4","OTU4",44.5,0.00342672295630243,81
"OTU152","OTU152",177,0.00320847036175503,18
"OTU88","OTU88",75,0.00329056693177668,48
"OTU261","OTU261",140,0.00292229329888924,8
"OTU187","OTU187",16,0.00304583679797269,8
