Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU95,#00FFFFFF,Actinomycetales,Dactylosporangium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Dactylosporangium,46837
OTU724,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,2930
OTU110,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,50582
OTU45,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,53022
OTU260,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Phytohabitans,17305
OTU200,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,16595
OTU155,#00FFFFFF,Actinomycetales,Virgisporangium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Virgisporangium,40006
OTU20,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,103447
OTU423,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,7382
OTU17,#00FFFFFF,Actinomycetales,Lechevalieria,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lechevalieria,138566
OTU219,#00FFFFFF,Actinomycetales,Marmoricola,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Marmoricola,2228
OTU362,#00FFFFFF,Actinomycetales,Actinomycetales,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Actinocorallia,18087
OTU249,#00FFFFFF,Actinomycetales,Kineosporia,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Kineosporiaceae,Kineosporia,19748
OTU719,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,2481
OTU26,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lechevalieria,114976
OTU311,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,10135
OTU25,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,69836
OTU413,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,5224
OTU68,#00FFFFFF,Actinomycetales,Lentzea,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,39736
OTU1042,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,2567
OTU257,#00FFFFFF,Actinomycetales,Marmoricola,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Marmoricola,1400
OTU21,#00FFFFFF,Actinomycetales,Arthrobacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,2227
OTU117,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,39536
OTU118,#00FFFFFF,Actinomycetales,Kribbella,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Kribbella,44895
OTU288,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Catenuloplanes,18480
OTU869,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Phytohabitans,2647
OTU13,#00FFFFFF,Actinomycetales,Micromonospora,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Micromonospora,157085
OTU507,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,10203
OTU903,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,1206
OTU229,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,13765
OTU358,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,13818
OTU777,#00FFFFFF,Actinomycetales,Kineosporia,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Kineosporiaceae,Kineosporia,3906
OTU195,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,23903
