"","A17","dmi2","dmi3","ipd3","lyk3","nfp","pt4"
"MSTRG.29597",75.305,72.7589,57.5106,54.0961,75.0702,62.7659,60.7616
"MSTRG.29598",24.0036,33.7872,20.502,30.0528,29.9713,34.0943,21.3303
"MSTRG.29599",11.7624,10.7812,9.25579,8.23682,7.97591,11.895,9.4275
"MSTRG.296",0.034562,0.136201,0.100334,0.0642837,0.0495091,0.0923794,0.0232902
"MSTRG.2960",14.7405,11.4085,13.4383,15.2536,14.6641,12.7898,12.5195
"MSTRG.29600",3.87644,3.06318,1.92243,6.72248,9.06316,5.90386,2.29931
"MSTRG.29601",16.6249,8.65166,8.202,12.0631,11.4792,11.0995,8.83197
"MSTRG.29602",0.711852,0.834994,1.13568,1.18747,0.972525,1.23415,1.40064
"MSTRG.29603",1.35547,1.25583,1.20085,0.711863,0.944057,1.37412,1.28695
"MSTRG.29604",17.8148,16.8779,22.008,21.4757,20.1489,20.7229,19.4675
"MSTRG.29605",1.13143,1.32062,1.34108,1.13375,1.01403,0.832531,1.08635
"MSTRG.29606",5.2141,7.0213,8.11331,5.85271,4.30542,5.75901,6.57642
"MSTRG.29607",1.5133,1.15468,1.11495,1.3488,1.31156,1.44631,1.18291
"MSTRG.29608",0.510175,0.756693,0.131285,2.6588,3.00316,1.58345,0.466497
"MSTRG.29609",10.6575,7.50126,3.6727,5.35964,6.10831,4.84819,4.87855
"MSTRG.2961",16.9566,6.31731,4.84764,10.7948,6.71694,7.44873,6.93335
"MSTRG.29610",27.1746,32.961,27.0699,27.2474,28.7528,30.4302,29.0602
"MSTRG.29611",436.608,604.085,389.46,503.517,501.822,494.584,389.625
"MSTRG.29612",6.15929,4.83194,6.71401,6.34184,5.51235,5.5275,6.25089
"MSTRG.29613",2.99533,2.88833,3.65948,2.88226,2.42472,1.76797,3.19093
"MSTRG.29614",1.05222,1.22928,0.802315,0.467982,0.156709,0.110239,0.75179
"MSTRG.29615",5.2301,3.33537,2.1312,3.98813,4.27671,3.16229,2.95602
"MSTRG.29616",19.4991,15.9044,22.2075,17.8022,20.8984,22.5484,19.9512
"MSTRG.29617",20.1436,14.58,14.8828,18.0197,16.5782,14.728,14.5133
"MSTRG.29618",1.61439,3.6311,7.87865,2.88941,2.53056,2.29019,3.94132
"MSTRG.29619",1.04712,2.6767,2.25004,1.20802,0.652576,0.449346,1.8353
"MSTRG.2962",2.44734,1.06423,1.78306,2.17156,1.51049,1.45087,1.50886
"MSTRG.29620",65.209,114.907,64.0977,32.4028,27.9191,51.9524,42.3223
"MSTRG.29621",0.388907,0.258567,0,0.679529,1.17854,0.551163,0.0222184
"MSTRG.29622",19.3524,15.6191,9.18997,17.584,25.3664,17.0108,11.1125
"MSTRG.29623",32.991,39.009,39.9256,25.4357,23.6324,21.5521,35.2574
"MSTRG.29624",25.7766,24.5821,27.1945,30.1484,34.5852,32.8481,29.9946
"MSTRG.29625",261.082,177.768,216.801,236.928,185.526,205.712,207.609
"MSTRG.29626",3.82878,2.25138,2.95489,2.22903,2.05929,1.98144,2.65953
"MSTRG.29627",30.0141,47.6352,41.5861,38.0651,29.094,23.9841,55.6039
"MSTRG.29628",7.62702,6.82541,7.93618,7.94955,6.15253,6.44303,7.05566
