"","name","betweenness","closeness","degree"
"OTU799","OTU799",159,0.00209256678426892,9
"OTU239","OTU239",487,0.00236719447212747,13
"OTU540","OTU540",30.3928571428571,0.00188009505760611,8
"OTU21","OTU21",174.5,0.00243412052791206,47
"OTU42","OTU42",30,0.00244481442636097,61
"OTU35","OTU35",187.75,0.00251572327044025,72
"OTU89","OTU89",91.75,0.00227215407022319,34
"OTU287","OTU287",181,0.0023052735437587,11
"OTU118","OTU118",160,0.00248222725286945,10
"OTU948","OTU948",1295.5,0.00281020441426909,33
"OTU387","OTU387",1119.83333333333,0.00258722840569811,34
"OTU632","OTU632",34.625,0.00205045766215019,8
"OTU173","OTU173",571.25,0.00252546935848027,23
"OTU500","OTU500",127,0.00208157266978347,9
"OTU39","OTU39",15.5,0.00246094480592989,69
"OTU170","OTU170",116,0.00240519907832771,15
"OTU213","OTU213",6,0.00214259850060957,4
"OTU233","OTU233",98,0.00210171457875335,5
"OTU404","OTU404",30.8928571428571,0.00188009505760611,8
"OTU691","OTU691",395.5,0.00235725634219819,13
"OTU92","OTU92",787.75,0.00268342555372486,28
"OTU60","OTU60",86.75,0.00250703851061856,51
"OTU143","OTU143",465.75,0.0025321391764977,14
"OTU124","OTU124",52,0.00218702090573284,6
"OTU395","OTU395",52,0.00219839165666398,9
"OTU84","OTU84",364.75,0.00249816384957057,22
"OTU388","OTU388",354.375,0.0022863152600112,22
"OTU764","OTU764",125.2,0.0025892984295905,28
"OTU179","OTU179",426.625,0.00239462454681731,10
"OTU43","OTU43",237,0.00217971772655441,13
"OTU221","OTU221",297,0.00239780552838043,12
"OTU85","OTU85",337.5,0.00258225782295007,63
"OTU774","OTU774",29.1428571428571,0.00214928965976745,17
"OTU32","OTU32",829.75,0.00266788322141563,24
"OTU171","OTU171",140,0.00215559052402406,6
"OTU55","OTU55",196.25,0.00223330437481994,28
"OTU376","OTU376",709,0.00252473610195894,27
"OTU105","OTU105",399.5,0.00230117820324006,15
"OTU145","OTU145",393.5,0.00241640448677985,12
"OTU630","OTU630",53,0.00199819762574158,6
"OTU10","OTU10",80,0.00249393350674485,67
"OTU161","OTU161",152,0.00251033000798285,52
"OTU19","OTU19",110,0.00247916263802738,62
"OTU93","OTU93",330,0.00250215811137106,41
"OTU13","OTU13",2,0.00193860815688768,3
"OTU144","OTU144",560.2,0.00236892164317881,11
"OTU715","OTU715",73.5,0.00214136430602666,14
"OTU9","OTU9",331,0.00248162357740928,38
"OTU993","OTU993",39.7857142857143,0.00216582885187247,19
"OTU1118","OTU1118",9.75,0.00187745124728474,4
"OTU229","OTU229",523,0.00231182335820085,10
"OTU63","OTU63",192,0.00256966357964415,63
"OTU15","OTU15",418.5,0.0026082148334394,42
"OTU182","OTU182",25,0.00204720024893955,6
"OTU12","OTU12",365.25,0.00257273110843547,65
"OTU90","OTU90",554,0.00255971822621766,23
"OTU48","OTU48",11,0.00245506615175746,70
"OTU91","OTU91",191.5,0.00253761378025787,47
"OTU70","OTU70",434.75,0.00252937873399535,32
"OTU212","OTU212",28.1428571428571,0.00214928965976745,17
"OTU146","OTU146",374.5,0.00246062992125984,18
"OTU80","OTU80",245.25,0.00244603436678285,34
"OTU436","OTU436",158.25,0.00206741851786767,18
"OTU234","OTU234",136,0.00231890510576526,26
"OTU972","OTU972",79,0.00242116680870845,15
"OTU75","OTU75",264.5,0.00234858110472558,12
"OTU1013","OTU1013",38,0.00189467860566812,15
"OTU8","OTU8",64,0.00222744930325386,24
"OTU82","OTU82",127.5,0.00238608815164068,10
"OTU349","OTU349",644,0.00235179571361713,12
"OTU389","OTU389",290.5,0.00251842860128994,20
"OTU102","OTU102",747.125,0.00256399080040101,45
"OTU108","OTU108",142,0.00229016899156989,13
"OTU700","OTU700",220.285714285714,0.002007548381916,16
"OTU74","OTU74",1074.5,0.00277096582013661,54
"OTU44","OTU44",11,0.00238363681002653,62
"OTU4","OTU4",40,0.00247047779040467,66
"OTU152","OTU152",334.75,0.00252841943444314,63
"OTU88","OTU88",304.5,0.00248410791958446,62
"OTU415","OTU415",440,0.00224316339875145,15
"OTU261","OTU261",225,0.00221534480734254,8
"OTU187","OTU187",706,0.00242811563657908,14
