Feature_ID,OTU_ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
03162779a387941e5fa2efa62f9eb24e,OTU69,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Rhizobiales,order,1,Hyphomicrobiaceae,family,0.73,Rhodoplanes,genus,0.63,,,,,,
03228adc49fa33d7d2431fe98a96518b,OTU990,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Sphingobacteriia,class,1,Sphingobacteriales,order,1,Chitinophagaceae,family,1,Chitinophaga,genus,1,,,,,,
0326404786a27e295f5266a6a70f8706,OTU871,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Deltaproteobacteria,class,1,Myxococcales,order,1,Sorangiineae,suborder,1,Phaselicystidaceae,family,0.73,Phaselicystis,genus,0.73,,,
03569f09f569a5c349c1153e7c3c828f,OTU191,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Sinobacteraceae,family,1,Steroidobacter,genus,1,,,,,,
03602b9efd53a74968db30fefcc2b6ee,OTU856,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Xanthomonadaceae,family,1,Luteimonas,genus,0.46,,,,,,
038bdf50f62f33d4df0d585eedb3dd2f,OTU201,Root,rootrank,1,Bacteria,domain,1,Gemmatimonadetes,phylum,0.95,Gemmatimonadetes,class,0.95,Gemmatimonadales,order,0.95,Gemmatimonadaceae,family,0.95,Gemmatimonas,genus,0.95,,,,,,
03958142092ecccaa04ac827bd2bf1d2,OTU2810,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Legionellales,order,1,Legionellaceae,family,1,Legionella,genus,1,,,,,,
03a64d13e79d221345e1e8cca9c92006,OTU2822,Root,rootrank,1,Bacteria,domain,1,Acidobacteria,phylum,1,Acidobacteria_Gp16,class,1,Gp16,genus,1,,,,,,,,,,,,
03b0e516acfc6405bb14fdc5acd71fa0,OTU3295,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Caulobacterales,order,1,Caulobacteraceae,family,1,Brevundimonas,genus,0.98,,,,,,
03bfa506946540240b8dbe93213f8aba,OTU5247,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.96,Bacilli,class,0.84,Bacillales,order,0.67,Planococcaceae,family,0.49,Viridibacillus,genus,0.4,,,,,,
03c7ac89c9d0717a8ff35f08e381ed7b,OTU636,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,1,Burkholderiales,order,1,Comamonadaceae,family,1,Acidovorax,genus,1,,,,,,
03d3817bc057627ba14889e0cf135834,OTU2601,Root,rootrank,1,Bacteria,domain,1,Actinobacteria,phylum,1,Actinobacteria,class,1,Actinobacteridae,subclass,1,Actinomycetales,order,1,Micrococcineae,suborder,1,Microbacteriaceae,family,1,Agromyces,genus,1
03de77f4e2c7d9dfc761614a26487afd,OTU2094,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Xanthomonadaceae,family,1,Dokdonella,genus,0.94,,,,,,
03eac6465291d0957e3e154c1c724fb1,OTU1027,Root,rootrank,1,Bacteria,domain,1,Actinobacteria,phylum,1,Actinobacteria,class,1,Actinobacteridae,subclass,1,Actinomycetales,order,1,Propionibacterineae,suborder,1,Nocardioidaceae,family,1,Nocardioides,genus,1
03f7dddb03a07c42a7d48e6345b32167,OTU1168,Root,rootrank,1,Bacteria,domain,0.99,Chloroflexi,phylum,0.68,Thermomicrobia,class,0.26,Sphaerobacteridae,subclass,0.26,Sphaerobacterales,order,0.26,Sphaerobacterineae,suborder,0.26,Sphaerobacteraceae,family,0.26,Nitrolancea,genus,0.23
042d701f83d220d1c332a2d798d8c5c3,OTU4688,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,0.97,Gammaproteobacteria,class,0.97,Methylococcales,order,0.33,Methylococcaceae,family,0.33,Methylococcus,genus,0.29,,,,,,
04633c547bbcc6fdb5436048f2668010,OTU1330,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Xanthomonadaceae,family,1,Arenimonas,genus,0.95,,,,,,
049141cbbaa69ae047a11015ce85be60,OTU2633,Root,rootrank,1,Bacteria,domain,1,Chloroflexi,phylum,0.64,Chloroflexia,class,0.44,Kallotenuales,order,0.24,Kallotenuaceae,family,0.24,Kallotenue,genus,0.24,,,,,,
0494b2de9d1aee1ca2576fbc87be21cc,OTU755,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Xanthomonadaceae,family,1,Lysobacter,genus,0.69,,,,,,
04a7b58ba72f287bb1ea2729d63a317c,OTU1471,Root,rootrank,1,Bacteria,domain,1,Gemmatimonadetes,phylum,0.65,Gemmatimonadetes,class,0.65,Gemmatimonadales,order,0.65,Gemmatimonadaceae,family,0.65,Gemmatimonas,genus,0.65,,,,,,
04af28f92921fd89af0cc80702b473ca,OTU2258,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Sinobacteraceae,family,1,Povalibacter,genus,0.85,,,,,,
04b10d92a324e28d16d89be3618455d4,OTU1291,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Xanthomonadaceae,family,1,Dyella,genus,1,,,,,,
04b8dced36638de1a27e214a8b20b877,OTU2512,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Sinobacteraceae,family,1,Steroidobacter,genus,0.91,,,,,,
04bac3dc6c8366f357f9e60c5355966e,OTU1905,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,1,Burkholderiales,order,1,Oxalobacteraceae,family,0.64,Herbaspirillum,genus,0.55,,,,,,
04c76523444046ace2da8d5c29c822e1,OTU1555,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Sphingobacteriia,class,1,Sphingobacteriales,order,1,Chitinophagaceae,family,1,Flavisolibacter,genus,0.56,,,,,,
04d21cd5f062df95f69cefc1da48cddf,OTU2732,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Sphingobacteriia,class,1,Sphingobacteriales,order,1,Chitinophagaceae,family,1,Flavitalea,genus,0.86,,,,,,
04eaad2b5a588d09cf3c83ad494daef0,OTU1048,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Caulobacterales,order,1,Caulobacteraceae,family,1,Caulobacter,genus,1,,,,,,
04f57b230204b191e3cff602c64ba2f2,OTU2765,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Cytophagia,class,1,Cytophagales,order,1,Ohtaekwangia,genus,1,,,,,,,,,
04fc43aa1066e76753457f629f5ab8fc,OTU603,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Rhizobiales,order,1,Hyphomicrobiaceae,family,1,Hyphomicrobium,genus,0.99,,,,,,
04fc86a226a06e901b8aefd5bc9d7333,OTU1348,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Sphingobacteriia,class,1,Sphingobacteriales,order,1,Chitinophagaceae,family,1,Chitinophaga,genus,1,,,,,,
05015ccb13ccc77c322044d487eff089,OTU1211,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,1,Rhodocyclales,order,0.46,Rhodocyclaceae,family,0.46,Georgfuchsia,genus,0.17,,,,,,
05126b150ccd31ac09a589fb1b482a96,OTU3047,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Rhodospirillales,order,0.98,Rhodospirillaceae,family,0.98,Dongia,genus,0.98,,,,,,
051bc3f0b9ac1db8b39aadce505f153e,OTU2901,Root,rootrank,1,Bacteria,domain,1,Actinobacteria,phylum,1,Actinobacteria,class,0.7,Rubrobacteridae,subclass,0.66,Solirubrobacterales,order,0.57,Conexibacteraceae,family,0.47,Conexibacter,genus,0.47,,,
052de802b59e4d258d96375c7bc6e072,OTU22,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Gammaproteobacteria,class,1,Xanthomonadales,order,1,Xanthomonadaceae,family,1,Stenotrophomonas,genus,0.95,,,,,,
056b724c741107e50a4e0a70060d03ac,OTU5020,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,0.99,Gammaproteobacteria,class,0.99,Chromatiales,order,0.67,Ectothiorhodospiraceae,family,0.55,Thioalkalispira,genus,0.3,,,,,,
057d6f3e3280c94f4fc923f6f574287a,OTU2002,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Deltaproteobacteria,class,1,Desulfuromonadales,order,1,Geobacteraceae,family,1,Geobacter,genus,1,,,,,,
057ee867db3c487196cd0816a92236b0,OTU4522,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Rhodospirillales,order,0.97,Rhodospirillaceae,family,0.52,Lacibacterium,genus,0.09,,,,,,
0585a112fa4006431d7705d03ee775f3,OTU4665,Root,rootrank,1,Archaea,domain,0.99,Thaumarchaeota,phylum,0.98,Nitrososphaerales,order,0.78,Nitrososphaeraceae,family,0.78,Nitrososphaera,genus,0.78,,,,,,,,,
059e638ff4784bb839f3d4aa7bccd1b7,OTU785,Root,rootrank,1,Bacteria,domain,1,Chloroflexi,phylum,0.91,Ktedonobacteria,class,0.53,Ktedonobacterales,order,0.53,Ktedonobacteraceae,family,0.53,Ktedonobacter,genus,0.53,,,,,,
05a4c994fe80c663096a842cfdaa7b0d,OTU5022,Root,rootrank,1,Bacteria,domain,1,Firmicutes,phylum,0.41,Negativicutes,class,0.14,Selenomonadales,order,0.14,Veillonellaceae,family,0.14,Psychrosinus,genus,0.05,,,,,,
05bca58d5eded85f3ec68520e272cc33,OTU4246,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,0.98,Rhodocyclales,order,0.82,Rhodocyclaceae,family,0.82,Uliginosibacterium,genus,0.41,,,,,,
05d1502d7cf509ae2de4257a2180b91b,OTU2442,Root,rootrank,1,Bacteria,domain,1,Chloroflexi,phylum,0.81,Caldilineae,class,0.77,Caldilineales,order,0.77,Caldilineaceae,family,0.77,Litorilinea,genus,0.76,,,,,,
05e84ca13637ccd38793805c2727dc2c,OTU4327,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Sphingobacteriia,class,1,Sphingobacteriales,order,1,Sphingobacteriaceae,family,1,Olivibacter,genus,0.99,,,,,,
05f0965f88b239849e35e31965e66218,OTU1623,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,1,Rhodocyclales,order,0.26,Rhodocyclaceae,family,0.26,Denitratisoma,genus,0.11,,,,,,
05f774b654c162b754338a5772e81e81,OTU380,Root,rootrank,1,Bacteria,domain,1,Acidobacteria,phylum,1,Acidobacteria_Gp4,class,1,Aridibacter,genus,0.84,,,,,,,,,,,,
0605686f00a848a44e73dc45576c2b1c,OTU3933,Root,rootrank,1,Bacteria,domain,1,Actinobacteria,phylum,0.9,Actinobacteria,class,0.89,Nitriliruptoridae,subclass,0.23,Euzebyales,order,0.22,Euzebyaceae,family,0.22,Euzebya,genus,0.22,,,
06305996841d23288ae2b0ea84966813,OTU3712,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Rhizobiales,order,1,Rhizobiaceae,family,0.89,Ensifer,genus,0.81,,,,,,
065ab6a405d7c4b0601aae4de5a76a4e,OTU3512,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Alphaproteobacteria_incertae_sedis,order,0.99,Geminicoccus,genus,0.99,,,,,,,,,
066c59ca1194f9c10b1f4f9ed131d8d8,OTU876,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Sphingomonadales,order,1,Sphingomonadaceae,family,1,Novosphingobium,genus,0.85,,,,,,
066e619342585578fb4c25ebb396cbca,OTU5326,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,0.93,Alphaproteobacteria,class,0.56,Rhodospirillales,order,0.39,Rhodospirillaceae,family,0.3,Elstera,genus,0.22,,,,,,
067a7e0c8fad9e30ec00fe3763eb45e9,OTU596,Root,rootrank,1,Bacteria,domain,1,Chloroflexi,phylum,0.92,Thermomicrobia,class,0.66,Sphaerobacteridae,subclass,0.64,Sphaerobacterales,order,0.64,Sphaerobacterineae,suborder,0.64,Sphaerobacteraceae,family,0.64,Sphaerobacter,genus,0.4
06ab9ef37e1c93102b6ae2b9c36427f9,OTU548,Root,rootrank,1,Bacteria,domain,1,Acidobacteria,phylum,1,Acidobacteria_Gp6,class,1,Gp6,genus,1,,,,,,,,,,,,
06c34f24970a911ee5e359520343f3da,OTU206,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Sphingomonadales,order,1,Sphingomonadaceae,family,0.99,Sphingomonas,genus,0.87,,,,,,
06c99bdb8e29f7264962fd05372c1817,OTU79,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,1,Neisseriales,order,0.25,Neisseriaceae,family,0.25,Laribacter,genus,0.24,,,,,,
06d0fe601aea1994ce80eab223876b0a,OTU3363,Root,rootrank,1,Bacteria,domain,1,Chloroflexi,phylum,0.85,Caldilineae,class,0.82,Caldilineales,order,0.82,Caldilineaceae,family,0.82,Litorilinea,genus,0.82,,,,,,
06de042a067bde9f0539fd3dd6a5aada,OTU3609,Root,rootrank,1,Bacteria,domain,1,Chloroflexi,phylum,0.72,Anaerolineae,class,0.56,Anaerolineales,order,0.56,Anaerolineaceae,family,0.56,Longilinea,genus,0.13,,,,,,
06df52d8c58c629b789c05878048bd93,OTU2954,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,0.99,Rhodocyclales,order,0.68,Rhodocyclaceae,family,0.68,Dechloromonas,genus,0.2,,,,,,
06dfbe479453a2cd7d92e9bdca0b7881,OTU2196,Root,rootrank,1,Bacteria,domain,1,Acidobacteria,phylum,1,Acidobacteria_Gp7,class,1,Gp7,genus,1,,,,,,,,,,,,
06fc867583556203a94752193f39cd41,OTU5200,Root,rootrank,1,Bacteria,domain,0.99,Actinobacteria,phylum,0.25,Actinobacteria,class,0.25,Actinobacteridae,subclass,0.21,Actinomycetales,order,0.21,Micrococcineae,suborder,0.16,Microbacteriaceae,family,0.08,Homoserinibacter,genus,0.05
0719f05569e6c91f107aba24c6d0c373,OTU278,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Caulobacterales,order,0.99,Caulobacteraceae,family,0.99,Phenylobacterium,genus,0.97,,,,,,
07370768ccac7af2a10c9cca25479ec2,OTU5255,Root,rootrank,1,Bacteria,domain,0.99,Planctomycetes,phylum,0.75,Phycisphaerae,class,0.74,Phycisphaerales,order,0.42,Phycisphaeraceae,family,0.42,Phycisphaera,genus,0.42,,,,,,
07482a854013652a4e8d17e1c19d211c,OTU2485,Root,rootrank,1,Bacteria,domain,1,Acidobacteria,phylum,1,Acidobacteria_Gp6,class,1,Gp6,genus,1,,,,,,,,,,,,
074e6ab7d65a019891ffe3a2b7a59287,OTU266,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,1,Burkholderiales,order,1,Comamonadaceae,family,1,Ramlibacter,genus,0.76,,,,,,
07558d0d37c69e5147b309f33389613d,OTU2209,Root,rootrank,1,Bacteria,domain,1,Actinobacteria,phylum,1,Actinobacteria,class,1,Actinobacteridae,subclass,1,Actinomycetales,order,1,Frankineae,suborder,0.54,Geodermatophilaceae,family,0.45,Blastococcus,genus,0.29
