"","Feature_ID","OTU_ID","SUM","CK_1","CK_2","CK_3","CK_4","CK_5","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi2_5","R_dmi3_1","R_dmi3_2","R_dmi3_3","R_dmi3_4","R_dmi3_5","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_2","R_lyk3_3","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_2","R_pt4_3","R_pt4_4","R_pt4_5","RS_A17_1","RS_A17_2","RS_A17_3","RS_A17_4","RS_A17_5","RS_dmi2_1","RS_dmi2_2","RS_dmi2_3","RS_dmi2_4","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_2","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_lyk3_1","RS_lyk3_2","RS_lyk3_3","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_1","RS_pt4_2","RS_pt4_3","RS_pt4_4","RS_pt4_5"
"1414","54ab0f954753dfc91feac81df0c0d7b5","OTU50",5001,0,57,45,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,93,111,139,147,94,147,155,125,219,201,167,125,164,107,172,191,148,128,154,261,157,85,82,106,168,72,90,109,106,63,156,108,259,119
"1415","54b26fa631e22421a6e35837f9ce8dc1","OTU4551",1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1416","54b7b8d2486d4e364dd45cfd81f8fa66","OTU981",42.2680412371134,0,5.67010309278351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12371134020619,0,0,8.24742268041237,8.24742268041237,5.67010309278351,0,0,6.18556701030928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12371134020619
"1417","54d585d08133aa8ef49869eba39776ac","OTU67",1433.02752293578,0,0,0,0,0,0,0,0,27.0642201834862,0,0,0,0,0,41.743119266055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6788990825688,0,0,0,0,23.394495412844,27.5229357798165,20.1834862385321,36.697247706422,16.0550458715596,26.605504587156,42.6605504587156,33.0275229357798,77.9816513761468,48.6238532110092,62.8440366972477,41.2844036697248,46.7889908256881,39.4495412844037,32.5688073394495,35.3211009174312,66.5137614678899,49.0825688073394,36.697247706422,31.651376146789,49.5412844036697,72.4770642201835,19.7247706422018,32.5688073394495,30.2752293577982,48.1651376146789,12.8440366972477,33.4862385321101,39.4495412844037,29.3577981651376,22.4770642201835,30.2752293577982,47.2477064220183,47.7064220183486,38.9908256880734
"1418","54da3d699c505ba2397ef1dd93a11fbe","OTU3674",5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1419","54db36c0a978d911e1c2b1c9243bcf1c","OTU3952",4.54545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1420","55017014a2befb35d01934d01ead869e","OTU953",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,21,0,0,6,7,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1421","550e404d6001e453c3a439df3a611fb4","OTU1922",8.44444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"1422","551ed73b6fe3591c166d71c1b72a33a3","OTU620",139.53488372093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42635658914729,0,13.1782945736434,9.30232558139535,11.6279069767442,0,3.87596899224806,0,0,0,7.75193798449612,0,0,0,0,0,0,7.75193798449612,10.077519379845,11.6279069767442,24.8062015503876,0,0,0,0,6.2015503875969,0,12.4031007751938,0,0,0,5.42635658914729,0,0,5.42635658914729
"1423","552bc08c89fc57010397ce1880816b81","OTU571",200.877192982456,0,0,0,0,0,32.4561403508772,0,0,92.9824561403509,0,0,0,0,50.8771929824561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5614035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1424","552edc48b0236222196ed4cce426bb58","OTU156",619.387755102041,0,0,0,0,0,0,29.0816326530612,0,0,0,0,0,0,0,13.7755102040816,0,0,0,0,26.530612244898,0,0,0,0,0,0,22.9591836734694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0408163265306,30.1020408163265,25.5102040816327,0,0,30.6122448979592,0,0,45.9183673469388,0,0,0,29.5918367346939,0,18.8775510204082,35.2040816326531,36.2244897959184,0,20.9183673469388,72.4489795918367,0,0,19.8979591836735,35.2040816326531,0,0,42.3469387755102,0,0,0,0,0,30.6122448979592,26.530612244898
"1425","5534e69d05a85bfee5c9df2ba12d830c","OTU874",31.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33333333333333,0,0,0,0,4,0,0,0,0,0,0,0,0
"1426","55376a6effd6e9aea26051b513e8b545","OTU4421",2.18181818181818,0,0,0,0,0,0,0,0,2.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1427","55393365833c7a3678b98732e0aeb8eb","OTU2433",5.20833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1428","5553ebb78d173e5e8181c98615e60f82","OTU3935",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1429","5586ca96e6210870b0ffa5de5f2070e7","OTU5441",0.75187969924812,0,0,0,0,0,0,0,0,0,0,0,0.75187969924812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1430","55937ff9838d7bd5e19b12e1764dabf3","OTU2734",9.44444444444444,3.88888888888889,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1431","5598c58cb83b5bc8fdb3d4b332f2c996","OTU4182",2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1432","55a940ac6dfe4ba195fc15959d785b9a","OTU4080",3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
