Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Cellular component,cytoplasm,GO:0005737,4,4.18E-04,1.712998053,31,5338,61,17993,"Medtr4g051097,Medtr7g088880,Medtr8g087820,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr4g051350,Medtr1g116120,Medtr0094s0110,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr1g100210,Medtr4g035040,Medtr4g051380,Medtr4g034770,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,Medtr4g034810,",0.002409396
Cellular component,chloroplast thylakoid membrane,GO:0009535,8,4.90E-04,5.979065131,6,296,61,17993,"Medtr4g051097,Medtr4g050850,Medtr4g051370,Medtr4g006100,Medtr4g034690,Medtr4g034790,",0.002665195
Cellular component,plastid thylakoid membrane,GO:0055035,7,5.07E-04,5.938937177,6,298,61,17993,"Medtr4g051097,Medtr4g050850,Medtr4g051370,Medtr4g006100,Medtr4g034690,Medtr4g034790,",0.002616213
Cellular component,intracellular part,GO:0044424,3,0.001027983,1.469373012,39,7829,61,17993,"Medtr4g051097,Medtr4g050860,Medtr7g088880,Medtr8g087820,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr4g051350,Medtr8g077390,Medtr1g116120,Medtr0094s0110,Medtr4g114550,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr1g100210,Medtr8g077420,Medtr4g035040,Medtr4g051380,Medtr4g051375,Medtr4g034770,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr1g074310,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,Medtr4g034810,",0.004797253
Cellular component,intracellular organelle,GO:0043229,4,0.00156274,1.513095773,35,6823,61,17993,"Medtr4g051097,Medtr7g088880,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr4g051350,Medtr8g077390,Medtr1g116120,Medtr0094s0110,Medtr4g114550,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr8g077420,Medtr4g035040,Medtr4g051380,Medtr4g034770,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr1g074310,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,Medtr4g034810,",0.006961296
Cellular component,organelle,GO:0043226,2,0.001600314,1.511323739,35,6831,61,17993,"Medtr4g051097,Medtr7g088880,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr4g051350,Medtr8g077390,Medtr1g116120,Medtr0094s0110,Medtr4g114550,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr8g077420,Medtr4g035040,Medtr4g051380,Medtr4g034770,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr1g074310,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,Medtr4g034810,",0.006818729
Cellular component,intracellular,GO:0005622,3,0.00236609,1.416539996,39,8121,61,17993,"Medtr4g051097,Medtr4g050860,Medtr7g088880,Medtr8g087820,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr4g051350,Medtr8g077390,Medtr1g116120,Medtr0094s0110,Medtr4g114550,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr1g100210,Medtr8g077420,Medtr4g035040,Medtr4g051380,Medtr4g051375,Medtr4g034770,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr1g074310,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,Medtr4g034810,",0.009661534
Cellular component,organelle subcompartment,GO:0031984,5,0.002666761,3.713615992,7,556,61,17993,"Medtr4g051097,Medtr7g088880,Medtr4g050850,Medtr4g051370,Medtr4g006100,Medtr4g034690,Medtr4g034790,",0.010453702
Cellular component,extracellular region,GO:0005576,2,0.004059635,3.441284153,7,600,61,17993,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",0.014208721
Cellular component,intracellular membrane-bounded organelle,GO:0043231,5,0.005245961,1.488763205,31,6142,61,17993,"Medtr4g051097,Medtr7g088880,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr4g050850,Medtr4g051130,Medtr8g077390,Medtr1g116120,Medtr4g114550,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr7g080250,Medtr8g077420,Medtr4g035040,Medtr4g034770,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr7g094710,Medtr1g074310,Medtr4g006080,Medtr4g051103,Medtr4g051410,Medtr4g034790,Medtr4g109600,",0.017727729
